FIPS,County,State,Longitude,Latitude,Population,cases
1017,Chambers,Alabama,-85.392,32.9143,34450,0
18183,Whitley,Indiana,-85.5051,41.1394,34388,0
31141,Platte,Nebraska,-97.5211,41.5713,34358,0
37165,Scotland,North Carolina,-79.4804,34.8409,34353,0
39137,Putnam,Ohio,-84.1317,41.0221,34352,0
27103,Nicollet,Minnesota,-94.2475,44.3499,34350,0
54077,Preston,West Virginia,-79.6682,39.4693,34204,0
13227,Pickens,Georgia,-84.4656,34.4643,34197,0
26047,Emmet,Michigan,-84.8904,45.5202,34159,0
20057,Ford,Kansas,-99.888,37.6917,34133,0
27097,Morrison,Minnesota,-94.2684,46.0126,34131,0
31111,Lincoln,Nebraska,-100.7453,41.0477,34122,0
17103,Lee,Illinois,-89.3003,41.7461,34058,0
13187,Lumpkin,Georgia,-84.0027,34.5722,33931,0
28095,Monroe,Mississippi,-88.4805,33.8923,33928,0
40081,Lincoln,Oklahoma,-96.8809,35.703,33917,0
28093,Marshall,Mississippi,-89.5031,34.7623,33899,0
51023,Botetourt,Virginia,-79.8124,37.5571,33875,0
26165,Wexford,Michigan,-85.5785,44.3383,33868,0
20079,Harvey,Kansas,-97.4272,38.0432,33823,0
51083,Halifax,Virginia,-78.9366,36.7669,33811,0
51155,Pulaski,Virginia,-80.7144,37.0636,33771,0
17021,Christian,Illinois,-89.2773,39.5458,33684,0
19125,Marion,Iowa,-93.0994,41.3344,33551,0
38059,Morton,North Dakota,-101.2811,46.7161,33479,0
18027,Daviess,Indiana,-87.072,38.7024,33442,0
24011,Caroline,Maryland,-75.8316,38.8717,33406,0
51730,Petersburg,Virginia,-77.3913,37.2043,33365,0
13177,Lee,Georgia,-84.1412,31.7796,33337,0
51001,Accomack,Virginia,-75.6334,37.7644,33326,0
53031,Jefferson,Washington,-123.5964,47.7486,33313,0
47143,Rhea,Tennessee,-84.9244,35.6087,33299,0
17057,Fulton,Illinois,-90.2075,40.4728,33259,0
37175,Transylvania,North Carolina,-82.7982,35.2021,33243,0
18073,Jasper,Indiana,-87.1161,41.023,33198,0
1079,Lawrence,Alabama,-87.311,34.5217,33182,0
19111,Lee,Iowa,-91.4793,40.642,33175,0
